,ARTIST,ALBUM TITLE,Box #,Notes,Double,Type of Double
12545,Simple Minds,Real To Real Cacophony,,,,
12546,Ac/Dc,Highway To Hell,,,,
12547,Nico,Live Heroes,,,,
12548,"Faithfull, Marianne",Marianne Faithfull's Greatest Hits,,,,
12549,"Johnson, Robert",King of the Delta Blues Singers,,,X,"1/2, 1/2"
12550,"Roe, Tommy",Tommy Roe's Greatest Hits,,,,
12551,"Beatles, The",Hear The Beatles Tell All,,,,
12554,Black Flag,Jealous Again,,,,
12555,Sodom,In The Sign Of Evil,,,,
12556,Impaler,If We Had Brains . We'd Be Dangero,,,,
12557,"Minutemen, The",The Punch Line,,,,
12559,"Acquaye, Saka",Voices Of Africa,,,,
12560,"Hitchcock, Robyn",Black Snake Diamond Role,,,,
12561,"Skinny Boys, The",Weightless,,,,
12562,"Wells, Junior",On Tap,,,,
12563,Trisomie 21,Self-Titled,,,,
12564,"Moses, Pablo",Live To Love,,,,
12567,"Diddley, Bo",Go,,,,
12568,Jules And The Polar Bears,Got No Breeding,,,,
12570,Royal Crescent Mob,Omerta,,,,
12571,Megadeth,Peace Sells.Who's Buying?,,,,
12572,"Minutemen, The",What Makes A Man Start Fires?,,,,
12573,"Misfits, The",Die Die My Darling,,,,
12574,"Charles, Ray",The Great Ray Charles,,,,
12575,Agent Orange,Bitchin' Summer,,,,
12576,"Dickies, The",Stukas Over Disneyland,,,,
12578,Meat Puppets,Self-Titled,,,,
12579,Ian Dury & The Blockheads,Do It Yourself,,,,
12582,"Johnson, Matt",Burning Blie Soul,,,,
12583,Phranc,Folksinger,,,,
12584,Slovenly,Thinking Of Empire,,,,
12585,"Standels, The",The Best Of The Standels,,,,
12586,Runaways Featuring Joan Jett,Little Lost Girls,,,,
12589,"Dickies, The",Dawn Of The Dickies,,,,
12590,Black Flag,Family Man,,,,
12591,Siouxsie & The Banshees,A Kiss In The Dreamhouse,,,,
12592,Circle Jerks,Group Sex,,,,
12593,Chron Gen,Chronic Generation,,,,
12594,Agent Orange,Living In Darkness,,,,
12595,Agent Orange,This Is The Voice,,,,
12596,"Spencer Davis Group, The",Best Of,,,,
12597,Nazz,Best Of,,,,
12598,Paul Roessler's Pandemonium Shadow,Self-Titled,,,,
12599,"Birthday Party, The",Prayers On Fire,,,,
12600,"Cashmere Jungle Lords, The",Oodjie-Boodjie Night-Night,,,,
12601,Crazy House,Still Looking For Heaven On Earth,,,,
12602,"Carney, Ralph",Happiness Finally Came To Them,,,,
12603,Class Action,Things You Left Behind,,,,
12604,E*I*E*I*O,That Love Thang,,,,
12605,Drivin' 'n' Cryin',Powerhouse,,Ambiguous side.,,
12606,Felt,Gold Mine Trash,,,,
12607,"Griffith, Nanci",Little Love Affairs,,,,
12608,Ditto,In Human Terms,,,,
12609,House Of Freaks,Monkey On A Chain Gang,,,,
12610,Hostyle,Partners In Crime,,,,
12611,House Of Freaks,Bottom Of The Ocean,,"Possibly included with #13516: ""Omar and the Howlers: Wall of Pride""",,
12612,Killdozer,Little Baby Buntin',,,,
12613,"Lynch, Ray",The Sky Of Mind,,,,
12615,"Mukti Coloured Shades, The",Sundome City Exit,,,,
12616,Malaysian Pale,Nature's Fantasies,,,,
12617,Sanctuary,Refuge Denied,,,,
12618,Terminal White,Hamtramck,,,,
12619,Talking Heads,Blind (extended remix),,,,
12620,"Woods, The",It's Like This,,,,
12621,Various,Return Of The Living Dead 2 (Soundtrack),,,,
12623,Obed Ngobeni And The Kurhula Sist,My Wife Bought A Taxi,,,,
12624,"Ngema,vMbongeni",Sarafina!,,,,
12625,Neutral Nation,It'S A Bash,,,,
12626,Fini Tribe,Make It Internal,,,,
12627,"Naked Into, The",Here Comes The World,,,,
12628,Dissidenten,Sahara Electrik,,,,
12629,"Redbone, Leon",No Regrets,,,,
12630,"Bohren, Spencer",Down In Mississippi,,,,
12632,"Lunch, Lydia And Moore, Thurston A","Crumb, Dead River, And Done Dun Si",,,,
12633,Ut,In Gut's House,,,X,1/2
12634,Bob Willis And His Texas Playboys,Transcriptions,,,,
12637,Front Line Assembly,Corrosion,,,,
12638,"Marias, A.C.",Time Was,,,,
12641,"Grinning Plowman,The",Days Of Deformity,,,,
12642,Tuxedomoon,Pinheads On The Move,,,X,1/2
12643,"Hope, Peter And Kirk, Richard H",Hoodoo Talk,,,,
12644,My Life With The Thrill Kill Kult,"First Cut, Shock Of Point 6, Resis",,DONE RE-RECORDING.,,
12645,Various,Used And Recommended By..,,,,
12646,Thin White Rope,In The Spanish Cave,,,,
12647,"Wild Swans, The",Bring Home The Ashes,,,,
12648,Sleep Of Reason,Building 27,,,,
12649,Hickoids,We In It For The Corn,,,,
12651,Cusco,Apurimac,,,,
12652,"D'arby, Terence Trent",Live Under My Thumb Authorized Boo,,Ambiguous side.,,
12654,"Sercert Service, The",It's All Happening Here,,,,
12655,Tankard,Chemical Invasion,,,,
12656,Vendetta,Go And Live. Stay And Die,,,,
12657,Deadly Blessings,Ascend From The Cauldron,,,,
12659,"Merry-Go-Round, The",Best Of,,,,
12660,"Sex Pistols, The","The Best Of The Sex Pistols, Live",,,,
12661,"Undertones, The",,,,,
12662,Motorhead,No Remorse,,,X,1/2
12664,Bow Wow Wow,Live,,,,
12665,"Hawkins,Screamin' Jay",Frenzy,,,,
12666,Simple Minds,Sons And Fascination,,,,
12667,Simple Minds,Empires And Dance,,,,
12668,Gong,Camembert Electrique,,,,
12669,Professor Longhair,The Last Mardi Gras,,,X,1/2
12671,"Wolfgang Press, The",Standing Up Straight,,,,
12672,Alvin Tyler And The Gyros,Rocking And Rolling,,,,
12673,Eek-A-Mouse,Mouseketer,,,,
12674,"Cooper, Alice",Rise Your Fist And Yell,,,,
12675,Hellion,Postcards From The Asylum,,,,
12675 A,Gong,Gazeuse!,,,,
12676,"Beau, Brummels, The",The Best Of,,,,
12677,"Thompson, Richard",A Collection Of Unreleased And Rar,,,X,1/2
12678,"Littlefield, Little Willie",I'm In The Mood,,,,
12679,"Birthday Party, The",Junk Yard,,,,
12680,"Buckley, Lord","Blowing His Mind (And Yours, Too)",,,,
12681,Various,Red Wave 4 Underground Bands From the USSR,,,X,1/2
12683,"Ives, Burl",The Best Of Burl Ives,,,X,1/4
12684,"Damned, The",Machine Gun Etiquette,,,,
12685,Venom,Calm Before The Storm,,,,
12686,Slave Raider,Take The World By Storm,,,,
12688,Various,Cajun and Swamp Pop Super Hits,,,,
12689,Various,La Musique Chez Mulate's,,,,
12690,Crash,I Feel Fine,,,,
12691,"Urbations, The",,,,,
12692,"Lines,The",Will You Still Love Me When I've L,,,,
12693,New Rose,Play New Rose For Me,,,X,1/2
12697,"Charles, Ray",From The Pages Of My Mind,,,,
12698,"Royal Court Of China, The",St,,,,
12699,Various,Campus Voice New Music Search 1985,,,,
12700,"Morrison, Van",Poetic Champion Compose,,,,
12701,"Byrds, The","The Orginal Singles, 1965-67",,,,
12702,"Bluesbustes, The",This Time,,,,
12703,Defenestration,Dali Does Windows,,,,
12705,Felt,Forever Breathes The Lonely Word,,,,
12706,Various,The Color Purple (Soundtrack),,,X,1/4
12707,"Great Jay Miller Studio Band, The",It's Your Voodoo Working 1961-63,,,,
12709,"Chesterfield Kings, The",Don't Open Til Doomsday,,,,
12710,Various,Recorded Highlights Of The Prince's Trust Anniversary Birthday Party,,,,
12711,Michael Bierylo Ensemble,Cloud Chorus,,,,
12713,Midnite Gypsies,The Girl From Ipanema,,,,
12714,Black Flag,Wasted Again,,,,
12715,Various,Dirty Dancing (Soundtrack),,,,
12716,"Winter, Johnny",Raisin' Cain,,,,
12717,Lynyrd Skynyrd,Legend,,,,
12718,"Walker, Joe Louis",The Gift,,,,
12719,Chrome With Damon Edge,Another World,,,,
12720,"Ely, Joe",Lord Of The Highway,,,,
12721,Three Colours,This Is Norwood,,,,
12722,"Weathermen, The",Ten Deadly Kisses,,,,
12723,Various,We Got A Party! -The Best Of Ron Records,,,,
12724,Various,Carnival Time- The Best Of Ric Records,,,,
12725,"Thomas, Irma",The Way I Fell,,,,
12727,Bl`Ast!,It's In My Blood,,,,
12728,"Alomar, Carlos",Dream Generator,,,,
12730,"Buckley, Lord",Bad Rapping Of The Marquis De Sade,,,,
12731,Snooks Eaglin,Blues From New Orleans Vol. 2,,,,
12734,"Carter Family, The",Early Classics,,,,
12735,Various,Smack My Crack,,,,
12736,Queen Ida And Her Zydeco Band,Caught In The Act,,,,
12738,Bauhaus,1979-1983,,,X,1/2
12739,Daf,The Gun,,,,
12740,Woodenhead,Heartprints,,,,
12741,Nova,Give Me A Moment Single,,,,
12742,Art Phag,In Outer Space,,,,
12743,Various,Salvation,,,,
12744,Jeffery Hatcher And The Big Beat,99 Years,,Ambiguous side.,,
12745,Gothic Playground,Gp,,,,
12747,"Javelosa, David And Baby Buddha",Everyone Is My Age,,,,
12748,Flat Stanley,Hot Cauliflower,,,,
12749,Crocodile Shop,Head.,,,,
12750,Bedlam Hour,Rock The Cradle,,,,
12751,"Hellcats, The",,,,,
12752,"Stewart, John",Punch The Big Guy,,,,
12753,Buddy Guy,Left My Blues In San Francisco,,,,
12754,New Orleans Rhythm Kings,Milestone,,,X,1/2
12755,Ladysmith Black Mambazo,Induku Zethu,,,,
12756,Zippo,Don't Shoot,,,,
12757,Dick Dale And The Del-Tones,"King Of The Surf Guitar, The Best",,,,
12758,Memphis Minnie,In My Girlish Days 1930-1935,,,,
12759,"Zombies, The",Odessey And Oracle,,,,
12760,Blackhouse,Holy War,,Record and case missing (not recorded),,
12761,"Sex Pistols, The",Better Live Than Dead,,,,
12762,Dead End,Ghost Of Romance,,,,
12763,D.D. Ranged,Unfolded,,,,
12764,"Kinsey Report, The",Edge Of The City,,,,
12765,Beatnik Beatch,At The Zula Pool,,,,
12767,Fearless Iranians From Hell,Die For Allah,,,,
12768,All,Allroy Sez.,,,,
12769,Various,Swamp Surfing In Memphis,,,,
12770,Men & Volts,The Mule,,,,
12771,Kik Van Dykes,Nobody Likes. The Dik Van Dykes,,,,
12772,Kingston Trio,Close-Up,,,,
12773,"Kingston Trio, The",New Frontier,,,,
12774,"Kingston Trio, The",Sold Out,,,,
12775,Gary Lewis And The Playboys,Close Cover Before Playing,,,,
12776,SWA,Arroyo,,,,
12777,Volcanoes,Into The Psyche,,,,
12778,Thing White Rope,In The Spanish Cave,,,,
12779,Kilkenny Cats,Hammer,,,,
12780,Naked Raygun,Jettison,,,,
12781,Straightjacketbazooka,Longpig,,,,
12782,Skin,Sanity,,,,
12784,"Cynics, The",Twelve Flights Up,,,,
12785,"Cline, Joey",Pomp And Circus Pants,,,,
12786,Luxuria,Unanswerable Lust,,,,
12787,Evening In Torpor,Evening In Torpor,,,,
12789,"Communards, The",Red,,,,
12790,"Bambi Slam, The",Is.,,,,
12792,Cabaret Voltaire,Eight Crepuscule Tracks,,,,
12793,Bobby E And The Midi City Crew,Walk On The Wild Side (Remixes),,,,
12794,Alice Donut,Donut Comes Alive,,,,
12795,Big Youth,Manifestation,,,,
12796,"Albion Band, The",Rise Up Like The Sun,,,,
12797,"Bright Lights, Big City",Original Motion Picture Soundtrack,,,,
12798,"O Suilleabhain, Micheal",The Dolphin's Way,,,,
12799,"Mcferrin, Bobby",Simple Pleasures,,,,
12801,Monty Python,The Final Rip Off,,Only 1 side recorded?,,
12802,Morrissey,Morrissey,,,,
12803,No Mercy,Widespread Bloodshed Love Runs Red,,,,
12804,Primitive Pleasure,Jupiter Remote,,,,
12805,Four Way Cross,Shimmer,,,,
12806,Jandek,Blue Corpse,,,,
12808,"Mirrors, The",The Mirrors,,,,
12809,Ziggy Marley And The Melody Makers,Conscious Party,,,,
12810,Karmas Colectivos,The Last Dream,,,,
12811,"Laswell, Bill",Hear No Evil,,,,
12812,Konk,Machine,,,,
12813,"Lowe, Nick",Pinker And Prouder Than Previous,,,,
12814,"Proclaimers, The",Make My Heart Fly,,,,
12815,Pat On The Back,Year Of The Baby,,,,
12816,Throwing Muses,House Tornado,,,,
12817,``,Green Thoughts,,,,
12818,Treat Her Right,Treat Her Right,,,,
12819,Semantics,Bone Of Contention,,,,
12820,World At A Glance,World At A Glance,,,,
12821,"Young Caucasians, The",The Shroud Of Elvis,,,,
12823,Hackney Five-O,Three Foot To The Left,,,,
12824,"Gruesomes, The",Gruesomania,,,,
12825,Inner Circle,One Way,,,,
12826,Figures On A Beach,No Stars,,,,
12827,Exuma,Street Music,,,,
12828,Passion Fodder,Fat Tuesday,,,,
12830,"Foster, David",The Symphony Sessions,,,,
12831,"Bears, The",Aches And Pains (Myopic Mix),,,,
12832,Class Action,Things You Left Behind,,,,
12833,Blue Rodeo,Outskirts,,,,
12834,Various,Crazy Backwards Alphabet,,,,
12835,House Of Freaks,Bottom Of The Ocean,,,,
12836,Pailhead,I Will Refuse,,,,
12837,Crumbsuckers,Besast On My Back,,,,
12838,Deja Voodoo,The Worst of Deja Voodoo,,,,
12840,Ballad Shambles,Skyclad,,,,
12841,"New Bluebloods, The",The Next Generation Of Chicago Blu,,,,
12842,"Adams, Johnny",Room With A View Of The Blues,,,,
12843,"Principato, Tom",Smokin'!,,,,
12844,"Gospel At Colonus, The",Original Cast Recording,,,,
12847,"Brooks, Lonnie",Bayou Lightning Strikes,,,,
12848,"Bragg, Billy",Help To Save The Youth Of America,,,,
12849,Dub Sex,Push!,,,,
12850,"Dickies, The",Killer Klowns,,,,
12851,Downy Mildew,Mincing Steps,,,,
12854,Sister,Double Happiness,,,,
12855,"Thrashing Doves, The",The Thrashing Doves,,,,
12856,Timbuk3,Eden Alley,,,,
12858,Soul Asylum,Hangtime,,,,
12859,"Prime Movers, The",Spooked,,,,
12860,Divine Horsemen,Handful Of Sand,,,,
12861,Spot 1019,This World Owes Me a Buzz,,,,
12862,Satan,Into The Future,,,,
12863,Destruction,Mad Butcher,,,,
12864,"Human Leauge, The",Crash,,,,
12865,Lynyrd Skynyrd,Southern By The Grace Of God Lynar,,,X,1/2
12866,Sodom,Persecution Mania,,,,
12867,"Brown, Savoy",Make Me Sweat,,,,
12868,Metal Mc,Sink Or Swim,,,,
12869,Toxik,World Circus,,,,
12870,Various,Fast Folk Musical Magazine: Live A,,,,
12871,"Sirkis, Jon",A Few Less Colors,,,,
12872,"Morton, Pete",Frivoulous Love,,,,
12873,"Morgan, Geof With Nina Gerber & Ca",Talk It Over,,,,
12874,Gang Green,You Got It,,,,
12877,"Sundown Playboys, The",Saturday Night Cajun Music!,,,,
12878,House Of Schock,House Of Schock,,,,
12879,Reddog,Reincarnation,,,,
12881,"Soup Dragons, The",This Is Our Art,,,,
12882,Have-A-Tampa,Sampling,,,,
12883,Various,You're Soaking In It,,,,
12884,"Copeland, Johnny",The Copeland Collection-Vol.1,,,,
12887,"Fentons, The",Whatever It Takes,,,,
12889,Wild History,Guns Or Butter,,,,
12890,Shut Up,Hell In A Hand Basket,,,,
12891,"Zarkons, The",Between The Idea And The Reality .,,,,
12892,"Terrortory, The",Honeymoon In Red,,,,
12893,Das Damen,Triskaidekaphobe,,,,
12894,Alter Natives,Group Therapy,,DONE RE-RECORDING.,,
12895,Alien Sex Fiend,Here Cum Germs,,,,
12896,At War,Limited Edition Ep,,,,
12897,Sepultura,Morbid Visions,,,,
12898,Holocrew,A Omega,,,,
12899,Xymox,Xymox,,,,
12901,2 Men A Drum Machine & A Trumpet!,Tired Of Getting Pushed Around (Si,,,,
12902,"Sharkey, Feargal",Wish,,,,
12903,Treacherous Jaywalkers,Sunrise,,,,
12904,Stump,A Fierce Pancake,,Side 2 cut off? Re-record,,
12905,Prince,Lovesex,,,,
12906,"Rave Ups, The",College Radio Sampler,,,,
12907,"Murphy, Peter",Love Hysteria,,,,
12908,"Mission U K, The",Children,,,,
12910,"Kuhlman, Robert",My'-Ki-El,,,,
12911,Jet Black Factory,Duality,,,,
12912,House Of Assembly,Confusion,,,,
12913,Honolulu Mountain Daffodils,Guitars Of The Oceanic Underground,,,,
12916,Fool Killers,Highwayman B/W Lovers Walk(45 Rpm,,,,
12917,"Jesus And Mary Chain, The",Psonic As Usual,,,,
12918,F O C,Northwest Skyline,,,,
12919,Dag Nasty,Field Day,,,,
12920,Front 242,Masterhit(45 Rpm Single),,,,
12921,"Dolby, Thomas",Aliens Ate My Buick,,,,
12922,Dancing Hoods,Hallelujah Anyway,,,,
12923,"Childs, Toni",Union,,,,
12924,"Blades, Ruben",Nothing But The Truth,,,,
12925,APB,"When I Feel This Way, Et Al",,,,
12926,"Bubblemen, The",The Bubblemen Are Coming(Single),,,,
12927,Salem 66,"Natural Disasters, National Treasu",,,,
12928,Band Of Susans,Hope Against Hope,,,,
12929,Didjits,Hey Judester,,,,
12930,"Coolies, The","Doug, A Rock Opera & Comic Book",,,,
12931,"Young Fresh Fellows, The",Totally Lost,,,,
12932,White Zombie,Soul Crusher,,,,
12933,Tar Babies,No Contest,,,,
12935,Everything But The Girl,Idlewild,,,,
12936,"New Creatures, The",Rafter Tag,,,,
12937,Psycho,Hosebags From Hell,,,,
12938,Glass Eye,Bent By Nature,,,,
12939,Invisible Pedestrian,Invisible Pedestrian,,,,
12940,They Might Be Giants,She Was A Hotel Detective,,,,
12941,Curtis Gone Bad,Curtis Gone Bad,,,,
12943,"Lang, K.D.",Shadowland,,,,
12944,Arrow,Groove Master,,,,
12945,Sachiko,Culture Shock,,,,
12946,"Hetchy, Hetch",Make Djibouti,,,,
12947,"Mekons, The",So Good It Hurts,,,,
12949,"Spikes, The",Colour In A Black Forest,,,,
12950,"Van Beethoven, Camper",Our Beloved Revolutionary Sweethea,,,,
12951,"Wainwright III, Laudon",More Love Songs,,,,
12952,Zero Boys,Vicious Circle,,,,
12953,Various,School Daze (Soundtrack),,,,
12954,Angry Samoans,Back From Samoa,,,,
12955,X,Live At The Whisky A Go-Go,,,X,1/2
12956,"Sun & The Moon, The",The Sun & The Moon(single remix),,,,
12957,Better Than Death,Swimman,,,,
12958,"Petrie, Robin  & Carnahan, Danny",Continental Drift,,,,
12959,Shadows Of Dreams,Turn To Me,,,,
12960,Celtic Thunder,The Light Of Other Days(Trad Irish,,,,
12961,Beat Happening,Jamboree,,,,
12962,Legal Weapon,Life Sentence To Love,,,,
12963,"Marsh, Bob",The Forest,,,,
12964,Click Click,Wet Skin And Curious Eye,,,,
12965,"Rhythm Sisters, The",Road To Roundhog Pier,,,,
12966,"Christians, The",When The Fingers Point,,,,
12967,Zodiac Mindwarp & The Love Reaction,Prime Mover,,,,
12968,Delirious Pink,The Soft Place,,,,
12969,Dredd Foole And The Din,Take Off Your Skin,,,,
12970,Spooner,Wildest Dreams,,,,
12971,Various,Hairspray(soundtrack),,,,
12972,???,Live And Learn,,,,
12973,Shaking Family,Shaking Family,,,,
12974,"Zappa, Dweezil",My Guitar Wants To Kill Your Mama.,,,,
12975,Mucky Pup,Can't You Take A Joke?,,,,
12976,Rotondi,Rotondi(Polka Music),,,,
12977,Tangerine Dream,Livemiles-The Albuquerque Concert,,,,
12978,Masi,God Promised A Paradise,,Ambiguous side.,,
12979,Various,"Best Of Metal Blade, Vol.3",,,,
12980,"Jackson, Joe",The Night And Day Tour 1982-83,,ONLY ONE SIDE RECORDED,,
12981,Steel Vengeance,Prisoners,,Record and case missing (not recorded),,
12982,Various,"Blues As Big As Texas, Vol. 1",,,,
12984,"Welles, Orson",I Know What It Is To Be Young,,,,
12985,"Rose, Betsy",Wings Against The Sky,,,,
12986,Celtic Hotel,"Battlefield Band, The",,,,
12989,Various,The Heartbeat of Soweto,,,,
12990,"Schulze, Klaus & Grosser, Andreas",Babel,,,,
12991,"Dillon, Matt",Short Dogs Grow,,,,
12992,"Glass, Philip",Powaqqatsi,,,,
12993,Fibonaccis,Civilization And Its Discotheques,,,,
12994,Ranking Roger,So Excited,,,,
12995,Troubadour,Troubadour,,,,
12996,"Schoener, Eberhard/Sting/Summers,","Music From ""Video Magic"" And ""Flas",,,,
12997,Ramones,Mania,,,X,1/2
12998,Pixies,Surfer Rosa,,,,
12999,"Mccutcheon, John",Gonna Rise Again,,,,
13003,"Meteors, The",Sewertime Blues,,,,
13009,Love Delegation,Spread The Word,,,,
13010,Breathless,The Glass Bead Game,,,,
13011,Bauhaus,Mask Ep,,,,
13013,Test Dept.,The Unnacceptable Face Of Freedom,,,,
13015,Charged G.B.H.,City Baby Attacked By Rats,,,,
13016,"Rose Of Avalanche, The",First Avalanche,,,,
13017,Wrestling Worms,Wrestling Worms,,,,
13018,"Morricone, Ennio",Film Music Vol. 1,,,,
13019,"Split Second, A",Scandanavian Bellydance,,,,
13020,Ten Tall Men,Find Your Saint,,,,
13021,Signal Aout 42,Pleasure And Crime (Single),,,,
13022,Vomit Launch,Ex Iled S An Dwi C H,,,,
13023,Front 242,Two And One Ep,,,,
13024,"Woodentops, The",You Make Me Feel,,,,
13025,Michael Doucet And Cajun Brew,Michael Doucet And Cajun Brew,,,,
13026,In The Nursery,Compulsion,,Ambiguous side.,,
13027,"Hurley, Michael",Watertower,,,,
13029,Doctor And The Medics,I Keep Thinking It's Tuesday,,,,
13030,"Church, The",Under The Milky Way (Maxi-Single),,,,
13031,Book Of Love,Lullaby,,,,
13034,Bill Deal And The Rhondels,The Best Of Bill Deal And The Rhon,,,,
13035,"Haque, Fareed",Voices Rising,,,,
13036,Steve Coleman And The Five Element,Sine Die,,,,
13037,"Dylan, Bob",Down In The Groove,,,,
13038,"Bo, Eddie",Check Mr. Popeye,,,,
13039,"King, Bobby & Evans, Terry",Live And Let Live!,,,,
13040,"Ridgley, Tommy",The New Orleans King Of The Stroll,,,,
13041,Tokyo Pop,The Original Motion Picture Soundt,,,,
13042,Bongwater,Double Bummer,,,X,1/2
13043,"Kalson, Butch",Boy Girl Boy,,,,
13044,"Cassandra Complex, The",Theomania,,,,
13045,"Damned, The","Mindless, Directionless, Energy",,,,
13046,Thrift Bakery,Freshness Test,,,,
13047,Fields Of The Nephilim,Preacher Man,,,,
13048,Erasure,A Little Respect,,,,
13049,"Gun Club, The",Breaking Hands,,,,
13050,"Grim, The",Face Of Betrayal,,,,
13051,Procol Harum,Greatest Hits,,,,
13052,"Platters, The","Platters, The",,,,
13053,Mitch Ryder and the Detroit Wheels,Sock it to Me,,,,
13054,Various,Live From Lawrence,,,,
13055,Prefab Sprout,From Langley Park To Memphis,,,,
13056,"Sun & The Moon, The","Sun & The Moon, The",,,,
13058,Westworld,Rockulator,,,,
13059,Third World,Hold On To Love,,,,
13060,"Thompson, Richard",Across A Crowded Room,,,,
13062,Lyres,A Promise Is A Promise,,Beginning of sides 1 and 2 very poppy; side 2 skips on track 1,,
13063,"Isaacs, Gregory",Watchman Of The City,,,,
13064,Hula,Vc1,,,,
13065,Divine Horsemen,Snake Handler,,,,
13066,A;Grumh?,Bloody Side,,,,
13067,Chuck Brown & The Soul Searchers,To Go?,,,,
13068,"Washington, Walter ""Wolfman""",Out Of The Dark,,,,
13069,Steel Pulse,State Of. Emergency,,,,
13070,Devo,Total Devo,,,,
13071,Wire,A Bell Is A Cup,,,,
13072,Arrow,Knock Dem Dead,,,,
13073,Beat Happening,Screaming Trees,,,,
13074,Black Girls,Speechless,,,,
13075,"Batfish Boys, The",Another One Bites The Dust,,,,
13077,"Blacklight Chameleons, The",Inner Mission,,,,
13078,Chyld,Limited Edition Ep,,,,
13079,"Christians, The",Hooverville,,,,
13080,"Siberry, Jane",The Walking,,,,
13082,"Wild Stares, The",Skorch Turth,,,,
13083,Wall Of Voodoo,The Ugly Americans In Australia,,,,
13084,"Gray, Zane",Window To The West,,,,
13085,"Laing, Shona",South,,,,
13086,Looters,Flashpoint,,,,
13087,"Molloy, Matt",Stony Steps,,,,
13088,Autumnfair Dark Arts Marine Soul B,The October Country,,,,
13089,"Shocked, Michelle",The Texas Campfire Tapes,,,,
13090,Zero Pop,All The Big Mystics,,,,
13091,"Page, Jimmy",Outrider,,,,
13092,Tater Totz,Alien Sleestacks From Brazil,,,,
13093,Wendy O. Williams' Ultrafly And Th,Deffest! And Baddest!,,,,
13094,Swamp Zombies,Chicken Vulture Crow,,,,
13095,"Sugarcubes, The",Motorcrash,,,,
13096,Stitched-Back Foot Airman,Shake Up,,,,
13097,State Of Confusion,A Street,,,,
13099,Squirrel Bait,Skag Heaven,,,,
13100,Underlings,Centurion,,,,
13101,"Willson-Piper, Marty",She's King,,,,
13102,Rush,Archives,,,XX,1/2
13103,OverKill,Under The Influence,,,,
13104,Various,Cocktail (Soundtrack),,,,
13105,"Pop, Iggy",Instinct,,,,
13107,S-Express,Theme From S-Express,,,,
13108,"Thomas, Rockin' Tabby",King Of Swamp Blues,,,,
13109,"Brown, Julie",Girl Fight Tonight,,,,
13110,Testament,The New Order,,,,
13112,Scritty Politti,Provision,,,,
13113,United States Marine Band,Hail To The Sprit Of Liberty,,,,
13114,Rockin' Dopsie,Saturday Night Zydeco,,,,
13115,Prefab Sprout,Cars And Girls,,,,
13116,"Springsteen, Bruce",Live,,(11-20-14 fixed. mystery lp was 13711-1) ONLY SIDE 3 & 4 !!of a triple!! 13116-2 IS A MYSTERY LP (Google voice id says it's fingered live by stiff little fingers),,
13117,Jelly Bishops,Kings Of Barstool Mountain,,,,
13120,"Boothe, Ken",Live Good,,,,
13121,Aswad,Don't Turn Around,,,,
13122,"Nighthawks, The",Jacks & Kings,,,,
13124,"Bimp, Tim",This Demo Is: Jones,,,,
13125,"Itals, The",Early Recordings 1971-1979,,DONE RE-RECORDING. -- CUTTING ALERT: Started recording over after a minute or so.,,
13127,"Railway Children, The",Recurrence,,,,
13129,Chip And The Chiltons,What's Wrong? With This Picture?,,,,
13130,Damage,"Jubilee ""O"" Kindness",,,,
13131,"Furies, The",Fun Around The World,,,,
13132,Happy Flowers,I Crush Bozo,,,,
13133,Heretix,A.D.,,,,
13134,"Leather Nun, The",Pink House,,Ambiguous side.,,
13135,"Kane, Raymond",Master Of The Slack Key Guitar,,,,
13136,Ladysmith Black Mambazo,Umthombo Wamanzi,,,,
13138,"Living End, The",The Picture That Came With The Fra,,CUTTING ALERT: Needle was lifted prematurely near end of side one. Gap is only a couple seconds long; needs to be fixed when cutting. (done 9/23/14),,
13139,Piglatin,Jackpot,,,,
13140,That Petrol Emotion,Live,,,,
13141,"Lloyd, Bill",Feeling The Elephant,,,,
13142,"Raines, Claude",Claude Raines,,,,
13143,Blazing Redheads,Funky Jazz With A Dash Of Salsa,,,,
13144,Shriekback,Get Down Tonight,,,,
13145,"Toby, Frank",Bridge St. Suffle,,,,
13146,Sisters Of Mercy,Temple Of Love (Single),,,,
13147,Swans,Love Will Tear Us Apart,,,,
13148,Siouxsie & The Banshees,Peek-A-Boo,,,,
13149,Hothouse Flowers,Don't Go,,,,
13151,U.K. Subs,Japan Today,,,,
13152,Verlaines,Bird Dog,,,,
13153,"Wildflowers, The",Take Me For A Ride (Single),,,,
13154,Yellowman,Don't Burn It Down,,,,
13155,Aerosmith,Rock And Hard Place,,,,
13156,Aerosmith,Classics Live,,,,
13157,"Walsh, Joe",The Confessor,,,,
13158,Japan,Obscure Alternatives,,,,
13160,"Eagles,The",Their Greatest Hits,,,,
13161,"Who, The",Hooligans,,,,
13162,"Berry, Chuck",Rock And Roll Show,,,,
13163,Persuasive Percusion,Stereo,,,,
13164,Lulu,It's Lulu,,,,
13165,Nancy And Lee,Nancy And Lee,,,,
13166,"Turtles, The",You Baby Let Me Be,,,,
13167,"Chapin, Harry",Portrait Gallery,,,,
13168,"Dimeola, Al, John Mclaughlin, Paco",Friday Night In San Francisco Live,,,,
13169,"Mack, Lonnie",Strike Like Lightening,,,,
13170,"Beck, Jeff",Anthology,,,,
13171,Various,Best Of Chess Vocal Groups,,,X,1/2
13172,Crass,10 Notes On A Summer's Day,,,,
13173,Manic Pop Thrill,That Petrol Emotion,,,,
13174,"Mekons, The",Fear And Whiskey,,,,
